"Description: ","Maximum 3-day precipitation total"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, rx3day, normalised (all years)
2008, -99.9, -99.9
2009, 167.8, 1.07111850079271
2010, 90.2, -0.986277431422988
2011, 91.2, -0.95976459724495
2012, 187.2, 1.58546748384663
2013, -99.9, -99.9
2014, 126.8, -0.0159077005068226
2015, 140.8, 0.3552719779857
2016, -99.9, -99.9
2017, 172.4, 1.19307753801168
2018, 115.4, -0.318154010136448
2019, 103.4, -0.636308020272895
2020, 136.4, 0.238615507602336
2021, -99.9, -99.9
2022, 69.8, -1.52713924865495
2023, -99.9, -99.9
2024, -99.9, -99.9
